226,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,4
216,8
216,4
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
216,8
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,2
217,4
217,4
217,4
217,4
217,4
217,4
217,4
217,4
217,4
217,4
217,4
217,4
217,8
217,4
217,4
217,8
217,8
217,8
217,8
217,8
217,8
217,8
217,8
217,8
217,8
217,8
218,2
218,2
218,2
218,2
218,2
218,2
218,2
218,2
218,4
218,4
218,4
218,4
218,4
218,4
218,4
218,8
218,8
218,8
218,8
218,8
218,8
219,2
219,2
219,2
219,2
219,2
219,4
219,4
219,4
219,4
219,4
219,8
219,8
219,8
219,8
220,2
220,2
220,2
220,4
220,4
220,4
220,4
220,4
220,8
220,8
220,8
220,8
221,2
221,2
221,2
221,4
221,4
221,4
221,8
221,8
221,8
222,2
222,2
222,2
222,2
222,4
222,4
222,4
222,8
222,8
222,8
223,2
223,2
223,2
223,4
223,4
223,4
223,8
223,8
224,2
224,2
224,2
224,2
224,4
224,4
224,4
224,8
224,8
225,2
225,2
225,2
225,4
225,4
225,4
225,8
225,8
226,2
226,2
226,2
226,4
226,4
226,4
226,8
226,8
227,2
227,2
227,2
227,4
227,4
227,8
227,8
227,8
228,2
228,2
228,2
228,4
228,4
228,8
228,8
229,2
229,2
229,2
229,4
229,4
229,8
229,8
229,8
230,2
230,2
230,2
230,4
230,4
230,8
230,8
231,2
231,2
231,6
231,6
231,6
231,8
231,8
232,2
232,2
232,6
232,6
232,6
232,8
232,8
233,2
233,2
233,6
233,6
233,8
233,8
233,8
234,2
234,2
234,6
234,6
234,6
234,8
234,8
235,2
235,2
235,6
235,6
235,6
235,8
235,8
236,2
236,2
236,6
236,6
236,8
236,8
236,8
237,2
237,2
237,6
237,6
237,8
237,8
237,8
238,2
238,2
238,6
238,6
238,8
238,8
238,8
239,2
239,2
239,6
239,6
239,8
239,8
240,2
240,2
240,2
240,6
240,6
240,8
240,8
241,2
241,2
241,2
241,6
241,6
241,8
241,8
242,2
242,2
242,2
242,6
242,6
242,8
242,8
243,2
243,2
243,6
243,6
243,8
243,8
243,8
244,2
244,2
244,6
244,6
244,8
244,8
245,2
245,2
245,2
245,6
245,6
245,8
245,8
